time,01JP301D01,01JP301D05
2022-04-18 01:13:36+00:00,0.0,
2022-04-18 01:13:49+00:00,,0.0
2022-04-18 01:14:18+00:00,,0.0
2022-04-18 01:14:35+00:00,0.0,
2022-04-18 01:14:47+00:00,,0.0
2022-04-18 01:15:16+00:00,,0.0
2022-04-18 01:15:34+00:00,0.0,
2022-04-18 01:15:45+00:00,,0.0
2022-04-18 01:16:14+00:00,,0.0
2022-04-18 01:16:33+00:00,0.0,
2022-04-18 01:16:43+00:00,,0.0
2022-04-18 01:17:12+00:00,,0.0
2022-04-18 01:17:32+00:00,0.0,
2022-04-18 01:17:41+00:00,,0.0
2022-04-18 01:18:10+00:00,,0.0
2022-04-18 01:18:31+00:00,0.0,
2022-04-18 01:18:39+00:00,,0.0
2022-04-18 01:19:08+00:00,,0.0
2022-04-18 01:19:30+00:00,0.0,
2022-04-18 01:19:37+00:00,,0.0
2022-04-18 01:20:06+00:00,,0.0
2022-04-18 01:20:29+00:00,0.0,
2022-04-18 01:20:35+00:00,,0.0
2022-04-18 01:21:04+00:00,,0.0
2022-04-18 01:21:28+00:00,0.0,
2022-04-18 01:21:33+00:00,,0.0
2022-04-18 01:22:02+00:00,,0.0
2022-04-18 01:22:27+00:00,0.0,
2022-04-18 01:22:31+00:00,,0.0
2022-04-18 01:23:00+00:00,,0.0
2022-04-18 01:23:26+00:00,0.0,
2022-04-18 01:23:29+00:00,,0.0
2022-04-18 01:23:58+00:00,,0.0
2022-04-18 01:24:25+00:00,0.0,
2022-04-18 01:24:27+00:00,,0.0
2022-04-18 01:24:56+00:00,,0.0
2022-04-18 01:25:24+00:00,0.0,
2022-04-18 01:25:25+00:00,,0.0
2022-04-18 01:25:54+00:00,,0.0
2022-04-18 01:26:23+00:00,0.0,0.0
2022-04-18 01:26:52+00:00,,0.0
2022-04-18 01:27:21+00:00,,0.0
2022-04-18 01:27:22+00:00,0.0,
2022-04-18 01:27:50+00:00,,0.0
2022-04-18 01:28:19+00:00,,0.0
2022-04-18 01:28:21+00:00,0.0,
2022-04-18 01:28:48+00:00,,0.0
2022-04-18 01:29:17+00:00,,0.0
2022-04-18 01:29:20+00:00,0.0,
2022-04-18 01:29:46+00:00,,0.0
2022-04-18 01:30:15+00:00,,0.0
2022-04-18 01:30:19+00:00,0.0,
2022-04-18 01:30:44+00:00,,0.0
2022-04-18 01:31:13+00:00,,0.0
2022-04-18 01:31:18+00:00,0.0,
2022-04-18 01:31:42+00:00,,0.0
2022-04-18 01:32:11+00:00,,0.0
2022-04-18 01:32:17+00:00,0.0,
2022-04-18 01:32:40+00:00,,0.0
2022-04-18 01:33:09+00:00,,0.0
2022-04-18 01:33:16+00:00,0.0,
2022-04-18 01:33:38+00:00,,0.0
2022-04-18 01:34:07+00:00,,0.0
2022-04-18 01:34:15+00:00,0.0,
2022-04-18 01:34:36+00:00,,0.0
2022-04-18 01:35:05+00:00,,0.0
2022-04-18 01:35:14+00:00,0.0,
2022-04-18 01:35:34+00:00,,0.0
2022-04-18 01:36:03+00:00,,0.0
2022-04-18 01:36:13+00:00,0.0,
2022-04-18 01:36:32+00:00,,0.0
2022-04-18 01:37:01+00:00,,0.0
2022-04-18 01:37:12+00:00,0.0,
2022-04-18 01:37:30+00:00,,0.0
2022-04-18 01:37:59+00:00,,0.0
2022-04-18 01:38:11+00:00,0.0,
2022-04-18 01:38:28+00:00,,0.0
2022-04-18 01:38:57+00:00,,0.0
2022-04-18 01:39:10+00:00,0.0,
2022-04-18 01:39:26+00:00,,0.0
2022-04-18 01:39:55+00:00,,0.0
2022-04-18 01:40:09+00:00,0.0,
2022-04-18 01:40:24+00:00,,0.0
2022-04-18 01:40:53+00:00,,0.0
2022-04-18 01:41:08+00:00,0.0,
2022-04-18 01:41:22+00:00,,0.0
2022-04-18 01:41:51+00:00,,0.0
2022-04-18 01:42:07+00:00,0.0,
2022-04-18 01:42:20+00:00,,0.0
2022-04-18 01:42:49+00:00,,0.0
2022-04-18 01:43:06+00:00,0.0,
2022-04-18 01:43:18+00:00,,0.0
2022-04-18 01:43:47+00:00,,0.0
2022-04-18 01:44:05+00:00,0.0,
2022-04-18 01:44:16+00:00,,0.0
2022-04-18 01:44:45+00:00,,0.0
2022-04-18 01:45:04+00:00,0.0,
2022-04-18 01:45:14+00:00,,0.0
2022-04-18 01:45:43+00:00,,0.0
2022-04-18 01:46:03+00:00,0.0,
2022-04-18 01:46:12+00:00,,0.0
2022-04-18 01:46:41+00:00,,0.0
2022-04-18 01:47:02+00:00,0.0,
2022-04-18 01:47:10+00:00,,0.0
2022-04-18 01:47:39+00:00,,0.0
2022-04-18 01:48:01+00:00,0.0,
2022-04-18 01:48:08+00:00,,0.0
2022-04-18 01:48:37+00:00,,0.0
2022-04-18 01:49:00+00:00,0.0,
2022-04-18 01:49:06+00:00,,0.0
2022-04-18 01:49:35+00:00,,0.0
2022-04-18 01:49:59+00:00,0.0,
2022-04-18 01:50:04+00:00,,0.0
2022-04-18 01:50:33+00:00,,0.0
2022-04-18 01:50:58+00:00,0.0,
2022-04-18 01:51:02+00:00,,0.0
2022-04-18 01:51:31+00:00,,0.0
2022-04-18 01:51:57+00:00,0.0,
2022-04-18 01:52:00+00:00,,0.0
2022-04-18 01:52:29+00:00,,0.0
2022-04-18 01:52:56+00:00,0.0,
2022-04-18 01:52:58+00:00,,0.0
2022-04-18 01:53:27+00:00,,0.0
2022-04-18 01:53:55+00:00,0.0,
2022-04-18 01:53:56+00:00,,0.0
2022-04-18 01:54:25+00:00,,0.0
2022-04-18 01:54:54+00:00,0.0,0.0
2022-04-18 01:55:23+00:00,,0.0
2022-04-18 01:55:52+00:00,,0.0
2022-04-18 01:55:53+00:00,0.0,
2022-04-18 01:56:21+00:00,,0.0
2022-04-18 01:56:50+00:00,,0.0
2022-04-18 01:56:52+00:00,0.0,
2022-04-18 01:57:19+00:00,,0.0
2022-04-18 01:57:48+00:00,,0.0
2022-04-18 01:57:51+00:00,0.0,
2022-04-18 01:58:17+00:00,,0.0
2022-04-18 01:58:46+00:00,,0.0
2022-04-18 01:58:50+00:00,0.0,
2022-04-18 01:59:15+00:00,,0.0
2022-04-18 01:59:44+00:00,,0.0
2022-04-18 01:59:49+00:00,0.0,
2022-04-18 02:00:13+00:00,,0.0
2022-04-18 02:00:42+00:00,,0.0
2022-04-18 02:00:48+00:00,0.0,
2022-04-18 02:01:11+00:00,,0.0
2022-04-18 02:01:40+00:00,,0.0
2022-04-18 02:01:47+00:00,0.0,
2022-04-18 02:02:09+00:00,,0.0
2022-04-18 02:02:38+00:00,,0.0
2022-04-18 02:02:46+00:00,0.0,
2022-04-18 02:03:07+00:00,,0.0
2022-04-18 02:03:36+00:00,,0.0
2022-04-18 02:03:45+00:00,0.0,
2022-04-18 02:04:05+00:00,,0.0
2022-04-18 02:04:35+00:00,,0.0
2022-04-18 02:04:44+00:00,0.0,
2022-04-18 02:05:04+00:00,,0.0
2022-04-18 02:05:33+00:00,,0.0
2022-04-18 02:05:43+00:00,0.0,
2022-04-18 02:06:02+00:00,,0.0
2022-04-18 02:06:31+00:00,,0.0
2022-04-18 02:06:42+00:00,0.0,
2022-04-18 02:07:00+00:00,,0.0
2022-04-18 02:07:29+00:00,,0.0
2022-04-18 02:07:41+00:00,0.0,
2022-04-18 02:07:58+00:00,,0.0
2022-04-18 02:08:27+00:00,,0.0
2022-04-18 02:08:40+00:00,0.0,
2022-04-18 02:08:56+00:00,,0.0
2022-04-18 02:09:25+00:00,,0.0
2022-04-18 02:09:39+00:00,0.0,
2022-04-18 02:09:54+00:00,,0.0
2022-04-18 02:10:23+00:00,,0.0
2022-04-18 02:10:38+00:00,0.0,
2022-04-18 02:10:52+00:00,,0.0
2022-04-18 02:11:21+00:00,,0.0
2022-04-18 02:11:37+00:00,0.0,
2022-04-18 02:11:50+00:00,,0.0
2022-04-18 02:12:19+00:00,,0.0
2022-04-18 02:12:36+00:00,0.0,
2022-04-18 02:12:48+00:00,,0.0
2022-04-18 02:13:17+00:00,,0.0
